2014-06-21|102.232123|45.32312|34
2014-06-23|102.232123|45.32312|34
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
World|Longitude|Latitude|Altitude|Accuracy
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
getLocation ERROR: invalid provider: null|0.0|0.0|0.0|0.0
2015-06-23 08:55:05|113.382994|23.124541|0.0|65.79287
2015-06-23 08:55:15|113.382994|23.124541|0.0|65.79287
2015-06-23 21:51:39|113.382994|23.124541|0.0|65.79287
2015-06-23 21:51:49|113.382994|23.124541|0.0|65.79287
2015-06-23 21:51:59|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:09|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:13|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:23|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:33|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:43|113.382994|23.124541|0.0|65.79287
2015-06-23 21:52:53|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:03|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:13|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:23|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:25|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:35|113.382994|23.124541|0.0|65.79287
2015-06-23 21:53:45|113.382994|23.124541|0.0|65.79287
